time,K1,K2,K3,K4,K5,K6,K7
1.125,-36.17411563375936,346.55657518040243,180.23268137602918,29.513700170073207,64.90770823995263,11.01691028895334,-14.14213562373152
1.15,34.08334925607778,56.41143168626587,100.15196712909983,9.472553681095377,15.304380212575378,16.253848449924504,14.1421356237311
1.175,27.603930690909152,-24.726323294236522,-146.48128186327392,13.661396250343088,13.884080360153803,14.515418656940938,14.142135623731349
1.2000000000000002,29.06680085100112,43.04994995540426,-163.17623770700135,21.014338329512782,-8.902786712080342,5.039843503010729,14.142135623731221
1.225,30.33657747015343,29.2905796769644,-199.56693975398494,25.479719828616,-7.826433268450728,5.570151678591742,14.14213562373186
1.25,31.29011459744322,8.114558295321501,-275.78094110100096,24.755834650285237,-8.807654579193922,3.4627385149984775,14.142135623730894
1.275,32.772665128873996,12.784753991877096,-302.9768764257642,21.61809575878135,-13.32099365586214,-2.8663405987117017,14.14213562373061
1.3,34.737123633699014,36.87001429290717,-240.8076860980359,22.9161912626314,-20.032342689162874,-8.463831525673868,14.142135623731349
1.3250000000000002,33.93083991329286,70.2438950251344,-174.2286380859673,27.312533827430343,-26.651376583691217,-12.110019268908786,14.142135623731718
1.35,31.252227091146324,139.17717703328253,-122.72636492086224,26.122241840620518,-22.92193739915865,-11.563287718642982,14.142135623731065
1.375,30.63622227397991,181.32132947175614,-104.64640794310378,19.729402746852884,-11.507885565990136,-7.695670509163961,14.142135623732088
1.4,30.709050032551204,194.86095863654373,-100.53067927768438,16.0863122662588,-4.615835807647272,-5.057485578275987,14.142135623729928
1.425,30.839752497367954,202.56331566590598,-95.3768676235577,15.588013830935324,-1.9937101465288833,-3.3974152987544812,14.142135623732656
1.4500000000000002,31.118884820115454,205.5347267369125,-87.49215563010648,18.522303939081667,-4.162678503082589,-3.013977283298118,14.142135623732543
1.475,31.704228978016545,190.94517168787024,-84.30513223476191,24.15532664614784,-10.555142133398476,-3.911154258753413,14.142135623735044
1.5,32.36634284061438,159.11372696297076,-89.28670021939479,28.803525818277194,-15.78589611947973,-4.414602469199281,14.142135623730383
1.525,32.79410163315515,129.2947934484282,-96.30274051068773,30.970346028128915,-17.475798892851344,-3.8944547077737752,14.142135623730383
1.55,32.974446005699974,109.55924420966403,-101.85947000828355,31.71204266443692,-17.20118498561942,-2.960682900406937,14.142135623730638
1.5750000000000002,33.007419083673085,98.72171554140823,-105.80093827817382,31.888604282541564,-16.240238908957053,-1.991210000352794,14.142135623734582
