time,theta,alpha,beta,theta_dot,alpha_dot,beta_dot,int_theta
0.7000000000000001,-0.35076835930321604,0.06728766540548983,0.04833096204991705,-2.08356900340637,0.9038718822300557,0.19492444660661237,-0.021593641289723246
0.7250000000000001,-0.40337132411254545,0.09124379760021713,0.05355817854621951,-2.124668181339981,1.0126186933481287,0.2232528730975848,-0.03102038733242027
0.75,-0.4566921951816429,0.11807027323273306,0.05949971222833252,-2.141001504187813,1.1334993572531447,0.25206982147145596,-0.041771181323597625
0.775,-0.5100840738209306,0.14809983283655642,0.06614630429072203,-2.130348786955203,1.268865411052724,0.27965754351970434,-0.05385588468612979
0.8,-0.5628382970897811,0.18172486575731775,0.07343658412333812,-2.089989074552837,1.4211372226081844,0.3035648430895828,-0.0672674143225137
0.8250000000000001,-0.6141686016795614,0.21939741192110315,0.0812373604491287,-2.0164352926295956,1.5926664704946454,0.320497262973664,-0.08198000055713046
0.8500000000000001,-0.663187273196651,0.26162435941462386,0.08932293745999238,-1.905058428737576,1.7854893289870133,0.32634889789543037,-0.09794694899308312
0.875,-0.7088699847782988,0.3089545433388404,0.0973586024550801,-1.7495584977942389,2.0009253849503126,0.31650430171158705,-0.11509766471777
0.9,-0.750004969567566,0.36195377114297267,0.10489666035322096,-1.541240285347136,2.239012839380271,0.286540330139681,-0.1333336016470933
0.925,-0.7851215014078861,0.4211651397913528,0.11139519440269063,-1.268082261878472,2.497896652490135,0.23334239381789323,-0.15252268253428644
0.9500000000000001,-0.8123936256362148,0.4870586446977986,0.11626550372904336,-0.9136876763878262,2.773583740025532,0.15628235229032436,-0.1724916216223377
0.9750000000000001,-0.8295202203822991,0.5599911803149307,0.11893567368565967,-0.4564399032989239,3.061019109345027,0.057331244238981,-0.19301554469756912
1.0,-0.8335958313827149,0.6402308164766609,0.11887459771097297,0.13039102326565932,3.3581517835933994,-0.06221732221391724,-0.21380449534463178
1.0250000000000001,-0.8210129096674669,0.7281462597163875,0.11544849449341485,0.8762427139541802,3.6750836755847174,-0.21187093519073308,-0.23448710460775907
1.05,-0.7874771474437471,0.8247008914738632,0.10740316124345409,1.8066182639434045,4.04928686501334,-0.4317557248061277,-0.2545932303216492
1.075,-0.7282683174236045,0.9323489390597112,0.09178243225429694,2.9300881376679926,4.562556941854504,-0.8179025943264445,-0.27354004863249115
1.1,-0.6389224187951232,1.0561325359348979,0.06252982241834319,4.217583752610523,5.340130808160437,-1.5223061925498549,-0.29062993283522526
1.125,-0.5165167035315562,1.2038911517368756,0.010607133760293415,5.574873468474831,6.480558455997784,-2.6315089000941274,-0.30507292186430873
1.1500000000000001,-0.3616384270125996,1.3830548306021455,-0.06974626815427154,6.815388653041702,7.852535853223808,-3.7967632530710684,-0.31604986099611065
